reg_no,sub_code
243,MA 101
243,ET 101
243,MA 301
243,CS 313
243,EC 501
243,EC 511
243,CS 614
243,CS 791
366,EC 111
366,CS 891
366,CS 892
444,CS 691
452,HU 501
452,CS 502
452,EC 511
466,CS 313
466,CS 312
466,EC 511
466,CS 591
466,CS 691
466,CS 727
470,CS 312
470,EC 511
470,CS 691
470,CS 727
471,CS 312
471,CS 313
471,EC 511
471,CS 591
476,EC 111
490,CS 313
490,CS 312
490,EC 511
490,CS 691
500,CS 502
500,EC 511
500,CS 591
500,CS 691
500,CS 727
522,HU 101
531,MA 301
549,EC 111
549,HU 301
549,MA 301
549,CS 301
549,CS 311
549,CS 312
551,EC 111
551,CS 312
554,CS 311
554,CS 312
564,CS 313
574,EC 111
611,CS 301
611,CS 311
611,CS 313
694,HUC101
694,HUC102
694,PHC101
694,MAC101
694,CSC101
694,ECC101
694,CSC111
694,ECC111
717,HUC102
717,ECC111
756,HUC101
756,HUC102
756,MAC101
756,CSC101
756,ECC101
756,CSC111
756,ECC111
588,HUC101
588,HUC102
588,PHC101
588,CSC101
588,ECC101
588,CSC111
588,ECC111
604,MA 101
604,EC 101
604,EC 111
778,ECC111
801,ECC111
808,HUC102
808,CSC101
808,CSC111
808,ECC111
809,CSC101
849,CS 912
849,CS 904
848,CS 901
848,CSN922
848,CS 912
850,CSN902
850,EC 920
851,CS 904
851,CS 902
851,CS 913
852,CS 901
852,CS 912
853,CS 924
853,CS 904
854,CS 924
854,CSN913
854,CS 923
819,CSN925
819,CS 924
819,CSN913
820,CSN913
820,CS 923
821,ECN922
821,ECN921
822,ECN921
653,CS 912
655,CS 904
